시도,시군구,행정동,행정동코드,인구,남,여,최근증감,면적_km2,인구_0~9,인구_10~19,인구_20~39,인구_40~59,인구_65+,인구_여20~49
서울,종로구,청운효자동,1111051500,10682,4837,5845,-37,2.426,447,966,2670,3470,2303,2336
서울,종로구,사직동,1111053000,8874,3917,4957,0,1.16,368,590,2388,2809,2033,2129
서울,종로구,삼청동,1111054000,2048,966,1082,-16,1.355,62,137,463,590,610,382
서울,종로구,부암동,1111055000,8868,4141,4727,-4,2.191,311,736,2186,2858,2061,1842
서울,종로구,평창동,1111056000,16938,7800,9138,-21,8.972,820,1507,3665,5309,4192,3244
서울,종로구,무악동,1111057000,7694,3535,4159,-5,0.465,483,852,1550,2584,1670,1502
서울,종로구,교남동,1111058000,9473,4287,5186,3,0.344,615,724,2443,3267,1851,2195
서울,종로구,가회동,1111060000,3532,1638,1894,7,0.602,124,263,802,1145,897,700
서울,종로구,종로1.2.3.4가동,1111061500,6625,3994,2631,-26,2.382,140,215,1894,1841,1886,1189
서울,종로구,종로5.6가동,1111063000,5388,2768,2620,-32,0.63,132,201,2189,1330,1162,1397
서울,종로구,이화동,1111064000,7061,3260,3801,-2,0.752,132,341,2801,1756,1506,1936
서울,종로구,혜화동,1111065000,15719,7491,8228,-17,1.159,422,1173,6293,4022,2890,4070
서울,종로구,창신제1동,1111067000,4372,2290,2082,-8,0.312,94,131,1108,1152,1375,720
서울,종로구,창신제2동,1111068000,7078,3622,3456,-25,0.249,130,267,1580,2133,2093,1025
서울,종로구,창신제3동,1111069000,6048,2936,3112,-22,0.219,242,348,1632,1739,1513,1154
서울,종로구,숭인제1동,1111070000,5678,2779,2899,2,0.236,161,298,1468,1734,1442,1094
서울,종로구,숭인제2동,1111071000,10240,4994,5246,3,0.32,213,293,4495,2564,1936,3041
서울,중구,소공동,1114052000,2207,1026,1181,-11,0.931,140,152,619,910,287,656
서울,중구,회현동,1114054000,4042,2045,1997,-2,0.889,118,199,900,1117,1335,709
서울,중구,명동,1114055000,2494,1039,1455,4,1.002,48,99,608,758,752,503
서울,중구,필동,1114057000,4311,2203,2108,-18,1.471,113,210,1656,1119,978,1079
서울,중구,장충동,1114058000,4589,2405,2184,11,0.998,93,286,1913,1036,968,1053
서울,중구,광희동,1114059000,5722,2786,2936,-17,0.749,105,178,2369,1387,1284,1605
서울,중구,을지로동,1114060500,3050,1635,1415,2,0.597,137,89,1186,940,523,856
서울,중구,신당동,1114061500,7276,3518,3758,-65,0.539,202,220,2499,2001,1747,1831
서울,중구,다산동,1114062500,12837,6187,6650,-65,0.544,339,659,3817,3703,3272,2693
서울,중구,약수동,1114063500,15633,7208,8425,-15,0.509,704,795,3827,4479,4486,3013
서울,중구,청구동,1114064500,10631,4947,5684,-14,0.328,506,566,3044,2927,2774,2226
서울,중구,신당제5동,1114065000,9945,4804,5141,-14,0.314,397,494,3114,2958,2191,2351
서울,중구,동화동,1114066500,9737,4653,5084,-27,0.343,528,682,2251,2950,2422,1839
서울,중구,황학동,1114067000,13198,6154,7044,9,0.313,530,484,5314,3592,2409,3941
서울,중구,중림동,1114068000,11886,5806,6080,15,0.49,833,737,3297,3901,2375,2823
서울,용산구,후암동,1117051000,15573,7440,8133,-28,0.856,535,1049,4801,4667,3385,3521
서울,용산구,용산2가동,1117052000,8405,4123,4282,-39,1.977,196,366,2794,2285,2151,1832
서울,용산구,남영동,1117053000,7029,4218,2811,17,1.159,155,198,2119,2053,1716,1360
서울,용산구,청파동,1117055500,18775,8578,10197,8,0.918,439,886,7563,4904,3685,5324
서울,용산구,원효로제1동,1117056000,17021,7737,9284,5,0.561,995,915,6937,4943,2303,5426
서울,용산구,원효로제2동,1117057000,13321,6142,7179,-25,0.791,672,878,4167,3965,2642,3266
서울,용산구,효창동,1117058000,10377,4867,5510,-2,0.416,570,658,3406,3230,1820,2613
서울,용산구,용문동,1117059000,11024,5187,5837,11,0.267,528,575,3473,3176,2504,2524
서울,용산구,한강로동,1117062500,20860,9828,11032,27,2.811,1194,926,7631,6023,3603,5713
서울,용산구,이촌제1동,1117063000,24926,11716,13210,26,2.879,2009,2583,5304,8462,4895,5030
서울,용산구,이촌제2동,1117064000,7695,3602,4093,-29,1.171,423,422,2002,2310,1931,1565
서울,용산구,이태원제1동,1117065000,5398,2648,2750,-44,0.531,190,205,1684,1478,1373,1115
서울,용산구,이태원제2동,1117066000,8336,3961,4375,-16,0.887,275,422,2711,2481,1876,1979
서울,용산구,한남동,1117068500,13698,6391,7307,24,3.179,816,905,3678,4598,2771,3235
서울,용산구,서빙고동,1117069000,12167,5854,6313,-36,2.829,600,1309,2786,4101,2468,2477
서울,용산구,보광동,1117070000,5043,2515,2528,-61,0.869,130,255,1266,1570,1263,885
서울,성동구,왕십리제2동,1120052000,15630,7462,8168,-35,0.333,900,984,4851,4664,3049,3648
서울,성동구,왕십리도선동,1120053500,25497,11991,13506,0,0.718,1743,1638,7922,7822,4651,6336
서울,성동구,마장동,1120054000,21369,10437,10932,-20,1.122,826,1305,7514,5593,4628,4936
서울,성동구,사근동,1120055000,12151,6283,5868,-18,1.148,240,775,6649,2246,1674,3450
서울,성동구,행당제1동,1120056000,15695,7416,8279,17,0.564,976,1077,5050,4835,2772,3899
서울,성동구,행당제2동,1120057000,22265,10401,11864,-5,0.477,1488,1742,5724,7152,4578,4732
서울,성동구,응봉동,1120058000,14363,6784,7579,23,0.56,902,1333,3561,4865,2736,3134
서울,성동구,금호1가동,1120059000,14227,6749,7478,-10,0.406,962,978,3565,4575,3144,3038
서울,성동구,금호2.3가동,1120061500,20564,9748,10816,-19,0.662,1371,1157,5716,6507,4331,4626
서울,성동구,금호4가동,1120062000,13743,6418,7325,-16,0.775,1049,894,3444,4465,2937,3034
서울,성동구,옥수동,1120064500,25166,11678,13488,16,1.919,2190,1651,6598,8071,4949,5823
서울,성동구,성수1가제1동,1120065000,14776,7269,7507,-30,1.856,749,751,4660,4393,2871,3309
서울,성동구,성수1가제2동,1120066000,14275,6886,7389,-14,0.972,804,758,4824,4365,2604,3600
서울,성동구,성수2가제1동,1120067000,13300,6842,6458,-60,1.145,449,619,3640,3871,3316,2505
서울,성동구,성수2가제3동,1120069000,9330,4556,4774,-36,1.041,321,464,3090,2680,2060,2224
서울,성동구,송정동,1120072000,9005,4731,4274,20,0.585,288,420,2818,2635,2058,1844
서울,성동구,용답동,1120079000,13161,6729,6432,10,2.361,337,499,5709,3299,2517,3599
서울,광진구,화양동,1121571000,22998,10811,12187,-17,1.172,271,712,14826,3796,2544,9013
서울,광진구,군자동,1121573000,18475,9035,9440,-67,0.731,490,948,7506,4695,3638,5000
서울,광진구,중곡제1동,1121574000,14776,6991,7785,-6,0.588,414,619,5572,4020,3120,3938
서울,광진구,중곡제2동,1121575000,19686,9252,10434,-19,0.542,579,1145,6519,5626,4187,4734
서울,광진구,중곡제3동,1121576000,15204,7434,7770,6,0.6,525,728,4789,4240,3633,3292
서울,광진구,중곡제4동,1121577000,26778,12907,13871,-26,2.273,795,1465,7485,7855,6687,5350
서울,광진구,능동,1121578000,10614,4900,5714,-35,1.078,330,490,4386,2878,1925,3209
서울,광진구,광장동,1121581000,32836,15836,17000,-25,2.742,2255,4972,6625,12278,4714,6983
서울,광진구,자양제1동,1121582000,21442,10302,11140,-1,0.562,549,1227,7607,6171,4329,5304
서울,광진구,자양제2동,1121583000,26275,12637,13638,9,1.623,1583,1774,8162,7874,5082,6102
서울,광진구,자양제3동,1121584000,26564,12722,13842,-41,1.129,1664,2300,6926,8378,5360,5699
서울,광진구,자양제4동,1121584700,19873,9674,10199,9,1.149,668,825,6878,5455,4548,4742
서울,광진구,구의제1동,1121585000,23190,10899,12291,38,0.55,664,1216,9489,6448,3982,6645
서울,광진구,구의제2동,1121586000,24774,11780,12994,-45,1.374,991,1969,6473,7936,5463,5188
서울,광진구,구의제3동,1121587000,27420,12971,14449,-11,1.443,1402,2353,7881,8610,5225,6368
서울,동대문구,신설동,1123051500,16383,8068,8315,-13,0.836,790,832,6512,4621,2697,4631
서울,동대문구,용두동,1123053300,22698,11122,11576,40,0.725,900,1077,7651,6673,4833,5488
서울,동대문구,제기동,1123054500,22176,11417,10759,-56,1.175,668,1082,7305,5511,5921,4369
서울,동대문구,전농제1동,1123056000,32499,16041,16458,9,1.169,1706,2180,9586,9769,6864,7077
서울,동대문구,전농제2동,1123057000,17148,8151,8997,-61,0.99,870,1358,3923,5231,4337,3167
서울,동대문구,답십리제1동,1123060000,27536,13126,14410,133,0.795,1941,1984,8666,8340,4945,6966
서울,동대문구,답십리제2동,1123061000,27164,12997,14167,-50,0.821,1501,1558,7282,7837,6744,5447
서울,동대문구,장안제1동,1123065000,37060,18041,19019,9,1.359,1680,2464,10560,11369,8217,8335
서울,동대문구,장안제2동,1123066000,32945,16189,16756,81,1.127,2259,2883,8483,10688,6568,7164
서울,동대문구,청량리동,1123070500,18173,8867,9306,297,1.171,604,867,4322,4853,6128,3118
서울,동대문구,회기동,1123071000,10311,4872,5439,-3,0.8,271,689,4980,2224,1634,3129
서울,동대문구,휘경제1동,1123072000,16799,7845,8954,-23,0.508,1009,926,7092,4214,2665,4911
서울,동대문구,휘경제2동,1123073000,23520,11718,11802,-27,1.19,811,1822,8590,6142,4739,5415
서울,동대문구,이문제1동,1123074000,30528,14699,15829,239,1.0,2205,2168,12428,8396,4403,8537
서울,동대문구,이문제2동,1123075000,17908,8602,9306,-26,0.801,854,1314,4642,5310,4408,3571
서울,중랑구,면목제2동,1126052000,22849,11341,11508,-34,0.741,771,1270,5778,6882,5828,4213
서울,중랑구,면목제4동,1126054000,17451,8647,8804,30,0.845,668,987,4345,5410,4587,3257
서울,중랑구,면목제5동,1126055000,13753,6806,6947,-38,0.588,937,925,3388,4497,2907,2769
서울,중랑구,면목본동,1126056500,31534,15512,16022,-38,0.824,886,1457,9338,9362,7624,6496
서울,중랑구,면목제7동,1126057000,20402,10087,10315,3,1.175,795,975,5566,5904,5381,4006
서울,중랑구,면목제3.8동,1126057500,23424,11554,11870,-2,1.394,740,1110,6251,6822,6312,4377
서울,중랑구,상봉제1동,1126058000,22746,10977,11769,4,0.858,1254,1620,6166,6651,5095,4660
서울,중랑구,상봉제2동,1126059000,21862,10231,11631,27,0.652,700,678,9976,5371,3779,6824
서울,중랑구,중화제1동,1126060000,17843,8783,9060,-7,0.666,721,1041,4972,5041,4549,3519
서울,중랑구,중화제2동,1126061000,25530,12896,12634,-54,0.953,975,1055,7200,7451,6529,5063
서울,중랑구,묵제1동,1126062000,32844,15595,17249,-30,1.202,1353,2789,9085,10218,7364,7307
서울,중랑구,묵제2동,1126063000,17541,8519,9022,-21,0.665,610,917,4775,5214,4450,3502
서울,중랑구,망우본동,1126065500,37965,18627,19338,54,2.933,2513,2376,10293,11108,8679,7956
서울,중랑구,망우제3동,1126066000,15146,7574,7572,-33,0.986,423,765,3608,4464,4303,2556
서울,중랑구,신내1동,1126068000,36588,17547,19041,63,2.478,1856,3599,8180,10907,8973,6697
서울,중랑구,신내2동,1126069000,18908,8887,10021,-1,0.93,852,1257,4552,5583,5088,3579
서울,성북구,성북동,1129052500,15513,7165,8348,8,2.404,518,942,4840,4674,3417,3648
서울,성북구,삼선동,1129055500,21574,10120,11454,-27,0.908,639,1445,7040,6367,4533,5082
서울,성북구,동선동,1129057500,14889,5916,8973,30,0.728,320,883,7119,3499,2376,5551
서울,성북구,돈암제1동,1129058000,13651,6312,7339,0,0.459,593,950,3468,4023,3440,2692
서울,성북구,돈암제2동,1129059000,22781,10743,12038,-51,0.521,1476,2393,5238,7755,4280,4581
서울,성북구,안암동,1129060000,15621,7815,7806,-16,1.268,338,818,8035,3174,2385,4469
서울,성북구,보문동,1129061000,15700,7516,8184,-55,0.587,781,941,5072,4763,3006,3648
서울,성북구,정릉제1동,1129062000,17474,8340,9134,16,0.388,1011,1599,4385,5617,3698,3618
서울,성북구,정릉제2동,1129063000,21445,10212,11233,-33,1.12,969,1444,5419,6554,5348,4147
서울,성북구,정릉제3동,1129064000,13856,6787,7069,-48,3.341,342,860,5071,3239,3397,2918
서울,성북구,정릉제4동,1129065000,23406,11083,12323,-9,3.694,981,1719,5682,7299,5842,4408
서울,성북구,길음제1동,1129066000,35307,16716,18591,-33,0.814,2556,5123,7266,13190,5445,7536
서울,성북구,길음제2동,1129068500,21358,10164,11194,15,0.613,1768,2135,5133,7439,3608,4718
서울,성북구,종암동,1129070500,36707,18044,18663,-30,1.512,1733,3058,9861,11168,8164,7365
서울,성북구,월곡제1동,1129071500,24433,11715,12718,-28,0.761,1306,2212,5563,7863,5715,4729
서울,성북구,월곡제2동,1129072500,18413,8669,9744,-15,1.327,661,1216,5921,5022,4303,4447
서울,성북구,장위제1동,1129076000,22526,10976,11550,-48,0.721,1157,1677,5675,7084,5014,4302
서울,성북구,장위제2동,1129077000,15678,7679,7999,-1,0.662,721,866,4415,4566,3870,3149
서울,성북구,장위제3동,1129078000,18710,9143,9567,-62,0.679,1632,1570,4889,6224,3208,4090
서울,성북구,석관동,1129081000,32720,16029,16691,-41,1.722,1360,1853,8854,9468,8612,6470
서울,강북구,삼양동,1130553400,24226,11891,12335,-69,0.947,987,1645,5737,7548,6209,4288
서울,강북구,미아동,1130553500,20128,9620,10508,-17,0.85,397,1021,5841,5598,5508,4218
서울,강북구,송중동,1130554500,27189,12937,14252,4,1.057,995,1700,6846,8264,7084,5207
서울,강북구,송천동,1130555500,22649,11145,11504,-5,0.935,680,1201,5190,6756,6741,3895
서울,강북구,삼각산동,1130557500,29803,14250,15553,0,0.584,1923,3474,6329,10603,5553,5842
서울,강북구,번1동,1130559500,15932,7810,8122,-28,0.593,385,678,4940,4706,3910,3480
서울,강북구,번2동,1130560300,14155,6744,7411,-16,1.007,346,742,2997,4065,4714,2252
서울,강북구,번3동,1130560800,15343,7058,8285,-41,1.086,526,955,2956,4284,5269,2308
서울,강북구,수유1동,1130561500,19241,9386,9855,-24,1.72,543,1120,5040,5481,5398,3620
서울,강북구,수유2동,1130562500,19775,9332,10443,-37,0.603,649,1113,4462,5832,5989,3433
서울,강북구,수유3동,1130563500,22303,10779,11524,-39,0.727,414,919,7028,6388,5661,4864
서울,강북구,우이동,1130564500,19364,9194,10170,-21,10.643,614,1224,4250,5805,5832,3350
서울,강북구,인수동,1130566000,27933,13444,14489,40,2.846,839,1779,6179,8215,8408,4687
서울,도봉구,창제1동,1132051100,22638,10705,11933,-43,1.088,915,1693,5605,7038,5571,4424
서울,도봉구,창제2동,1132051200,27471,13231,14240,-65,0.679,1032,1826,6991,8391,6836,5328
서울,도봉구,창제3동,1132051300,12554,6260,6294,-22,0.635,352,845,2653,3944,3568,1974
서울,도봉구,창제4동,1132051400,25856,12290,13566,-37,1.109,1259,2118,6750,8087,5566,5389
서울,도봉구,창제5동,1132051500,23234,11006,12228,-46,0.687,967,1592,6144,6908,5672,4681
서울,도봉구,도봉제1동,1132052100,19352,9686,9666,-18,8.466,421,950,3689,5478,6904,2667
서울,도봉구,도봉제2동,1132052200,25568,12380,13188,66,1.189,1197,1370,5603,7353,7988,4410
서울,도봉구,쌍문제1동,1132066000,20495,9714,10781,-8,1.155,733,1387,4811,6072,5738,3762
서울,도봉구,쌍문제2동,1132067000,17257,8243,9014,-28,0.529,594,1040,4033,5195,4849,3018
서울,도봉구,쌍문제3동,1132068000,15893,7571,8322,-33,0.497,524,842,4307,4662,4225,3187
서울,도봉구,쌍문제4동,1132068100,17534,8242,9292,-23,0.574,788,1682,3823,5487,4273,3262
서울,도봉구,방학제1동,1132069000,27706,13657,14049,0,1.055,949,2013,6187,8595,7481,4878
서울,도봉구,방학제2동,1132070000,17426,8724,8702,-72,1.103,467,1034,3547,5214,5436,2579
서울,도봉구,방학제3동,1132071000,25241,12136,13105,-17,1.851,1173,2418,5056,7631,6770,4181
서울,노원구,월계1동,1135056000,20226,10361,9865,-24,1.173,739,1357,6161,5657,4766,3880
서울,노원구,월계2동,1135057000,24513,11716,12797,-59,1.982,1036,1837,5076,7524,7015,4191
서울,노원구,월계3동,1135058000,27597,13103,14494,-44,1.162,1504,1674,7126,8020,7237,5424
서울,노원구,공릉1동,1135059500,35241,16953,18288,-23,1.203,1159,2310,11209,9752,8149,7936
서울,노원구,공릉2동,1135060000,40662,19658,21004,-16,7.228,2489,3982,12132,12442,7148,9278
서울,노원구,하계1동,1135061100,25321,12049,13272,-93,1.434,813,2496,6902,7329,5588,4913
서울,노원구,하계2동,1135061200,19450,9228,10222,-36,0.503,1051,2154,4668,6434,3632,3978
서울,노원구,중계본동,1135061900,21967,10600,11367,12,2.051,1003,3961,4223,8348,3002,4367
서울,노원구,중계1동,1135062100,25735,12589,13146,-24,0.605,1548,5032,4299,10289,3207,5284
서울,노원구,중계4동,1135062400,18526,8861,9665,-1,1.451,761,1779,3845,6012,4619,3150
서울,노원구,중계2.3동,1135062500,31117,14055,17062,-44,0.942,1244,2301,7146,9336,8655,5789
서울,노원구,상계1동,1135063000,35842,17155,18687,-5,4.979,1497,2671,8287,10842,9362,6461
서울,노원구,상계2동,1135064000,18534,9092,9442,-46,0.588,553,1396,4720,5732,4431,3397
서울,노원구,상계3.4동,1135066500,26412,13088,13324,-52,5.754,1088,1988,5386,8163,7301,4164
서울,노원구,상계5동,1135067000,21990,10666,11324,-26,0.49,635,1514,4951,6711,6193,3593
서울,노원구,상계6.7동,1135069500,30043,13713,16330,-85,1.419,1538,2254,8545,9391,6111,6745
서울,노원구,상계8동,1135070000,21217,10019,11198,36,0.659,1813,1555,6972,6215,3536,5253
서울,노원구,상계9동,1135071000,18840,8766,10074,-8,0.833,895,1498,4812,5957,4323,3818
서울,노원구,상계10동,1135072000,17820,8194,9626,2,0.824,1015,1389,5102,5644,3431,4048
서울,은평구,녹번동,1138051000,35083,16453,18630,-35,1.906,1613,2033,9509,10613,8602,7436
서울,은평구,불광제1동,1138052000,33687,15716,17971,-44,3.33,1393,2078,9087,9868,8412,7045
서울,은평구,불광제2동,1138053000,26127,12535,13592,19,1.332,589,1261,7253,7339,7395,5078
서울,은평구,갈현제1동,1138055100,13930,6666,7264,6,0.949,335,862,3907,4106,3591,2865
