시도,시군구,지도_병원계,지도_CNP차앤박피부과,지도_CU클린업 피부과,지도_가정의학과,지도_국립병원,지도_내과,"지도_노인,요양병원",지도_대학병원,지도_보훈병원,지도_비뇨기과,지도_산부인과,지도_성장클리닉,지도_성형외과,지도_소아청소년과,지도_시도립병원,지도_신경과,지도_신경외과,지도_안과,지도_영상의학과,지도_외과,지도_이비인후과,지도_이지함피부과,지도_일반의원,지도_재활의학과,지도_정신건강의학과,지도_정형외과,지도_종합병원,지도_진단검사의학과,지도_치과,지도_통증클리닉,지도_피부과,지도_한방병원,지도_한의원,지도_항문외과,지도_흉부외과
강원,강릉시,250,0,0,5,0,20,3,0,0,5,8,0,5,11,0,4,0,6,0,6,8,0,12,1,4,11,4,0,64,7,9,1,56,0,0
강원,고성군,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,6,0,0
강원,동해시,102,0,0,2,0,10,5,0,0,1,2,0,1,3,0,2,1,2,0,2,4,0,10,0,0,4,1,0,29,3,1,0,19,0,0
강원,삼척시,46,0,0,0,0,3,1,0,0,2,1,0,0,2,0,0,0,1,0,2,0,0,8,0,1,3,1,0,9,1,0,0,11,0,0
강원,속초시,123,0,0,2,0,15,2,0,0,4,6,0,1,4,0,0,1,4,1,3,3,0,9,1,0,6,1,0,31,5,4,0,20,0,0
강원,양구군,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0
강원,양양군,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,4,0,0,0,4,0,0
강원,영월군,23,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,1,0,6,0,0,0,4,0,0
강원,원주시,465,0,0,5,0,45,6,0,0,9,12,0,8,22,0,1,5,10,3,8,17,0,40,6,11,19,2,0,106,4,17,4,103,1,1
강원,인제군,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,6,0,0
강원,정선군,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,0,4,0,0
강원,철원군,33,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,8,0,0,1,0,0,8,1,0,0,9,0,0
강원,춘천시,346,0,0,6,0,29,10,2,0,5,9,0,5,12,0,2,3,11,0,2,8,0,28,9,10,22,0,0,86,6,17,1,62,0,1
강원,태백시,39,0,0,0,0,2,1,0,0,1,1,0,0,2,0,0,1,1,1,1,1,0,9,0,1,1,1,0,9,0,0,0,6,0,0
강원,평창군,28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,6,0,0
강원,홍천군,52,0,0,1,0,3,1,0,0,2,1,0,0,1,0,0,1,2,1,1,2,0,5,0,1,2,1,0,13,3,0,0,11,0,0
강원,화천군,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,5,0,0,0,2,0,0
강원,횡성군,22,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,4,0,0,0,11,0,0
경기,가평군,64,0,0,1,0,3,6,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,14,0,1,4,0,0,20,1,0,0,11,0,0
경기,고양덕양구,584,0,0,10,0,49,9,0,0,7,17,0,3,30,0,2,5,13,2,3,29,0,40,7,14,37,2,0,140,7,28,3,125,2,0
경기,고양일산동구,396,0,0,12,1,25,16,1,0,5,10,0,7,12,0,0,4,6,3,9,12,0,20,2,12,18,3,0,108,7,32,4,66,1,0
경기,고양일산서구,383,1,1,7,0,34,5,0,0,7,7,0,4,13,0,0,2,9,0,4,17,1,23,1,15,30,1,0,95,4,9,1,90,2,0
경기,과천시,117,0,0,1,0,13,0,0,0,1,3,0,0,4,0,0,2,4,0,0,7,0,5,1,4,7,0,0,29,1,8,0,26,1,0
경기,광명시,469,0,0,5,0,47,3,0,0,7,11,0,4,17,0,2,4,16,0,3,21,0,20,2,15,36,2,0,129,7,26,2,88,2,0
경기,광주시,334,0,0,11,0,27,4,0,0,5,7,0,0,18,0,1,4,5,1,1,10,0,29,5,5,16,2,0,91,9,10,2,70,1,0
경기,구리시,337,0,0,3,0,27,4,0,0,10,7,0,4,11,0,1,4,7,3,6,14,0,12,2,8,21,1,0,98,7,16,2,67,1,1
경기,군포시,333,0,0,8,0,29,6,0,0,5,5,0,2,12,0,2,2,7,1,3,16,0,13,2,6,18,3,0,102,4,12,0,73,2,0
경기,김포시,537,0,0,9,0,37,6,0,0,7,13,0,1,29,0,0,6,13,2,5,26,0,24,2,11,42,2,0,158,5,20,11,107,1,0
경기,남양주시,812,0,0,9,0,75,18,0,0,9,23,0,2,40,0,2,3,22,1,3,40,0,57,7,20,41,2,0,226,14,37,5,156,0,0
경기,동두천시,94,0,0,1,0,9,7,0,0,2,3,0,1,3,0,0,1,3,0,0,4,0,6,0,3,5,0,0,28,2,1,0,15,0,0
경기,부천소사구,284,0,0,2,0,24,4,0,0,7,7,1,3,10,0,3,4,8,0,1,10,0,26,4,4,19,0,1,72,5,6,2,61,0,0
경기,부천오정구,186,0,0,8,0,19,6,0,0,0,3,0,0,10,0,0,2,5,0,1,8,0,14,1,1,11,1,0,53,2,2,3,36,0,0
