시도,시군구,인구,점포_계,인구1만명당_점포,업종_음식,업종_소매,업종_수리·개인,업종_교육,업종_과학·기술,업종_예술·스포츠,업종_부동산,업종_보건의료,업종_숙박,업종_시설관리·임대,비율%_음식,비율%_소매,비율%_수리·개인,비율%_교육,비율%_과학·기술,비율%_예술·스포츠,비율%_부동산,비율%_보건의료,비율%_숙박,비율%_시설관리·임대,중_이용·미용,중_욕탕·신체관리,중_의약·화장품,중_일반교육,중_기타교육,중_병원,중_의원,중_기타보건,중_스포츠,중_주점,중_카페,중_부동산서비스,중_경영컨설팅,중_의복소매,미용업소_1만명당,학원_1만명당,카페_1만명당,헬스_1만명당,오피스_1만명당,상가_의원,심평원_의원
강원,강릉시,205666,16699,811.9,5880,3713,1850,1059,862,629,337,272,1510,587,35.2,22.2,11.1,6.3,5.2,3.8,2.0,1.6,9.0,3.5,1040,82,267,399,611,15,236,21,—,792,933,337,100,641,54.6,49.1,45.4,—,4.9,236,122
강원,고성군,27204,2631,967.1,929,573,143,79,97,86,48,20,570,86,35.3,21.8,5.4,3.0,3.7,3.3,1.8,0.8,21.7,3.3,70,3,22,16,59,0,18,2,23,75,153,48,13,56,26.8,27.6,56.2,8.5,4.8,18,7
강원,동해시,85589,5957,696.0,2146,1590,768,323,252,228,58,105,262,225,36.0,26.7,12.9,5.4,4.2,3.8,1.0,1.8,4.4,3.8,418,49,108,92,218,7,89,9,106,346,276,58,17,275,54.6,36.2,32.2,12.4,2.0,89,48
강원,삼척시,60294,4260,706.5,1643,1030,407,163,169,167,41,53,423,164,38.6,24.2,9.6,3.8,4.0,3.9,1.0,1.2,9.9,3.8,214,20,53,59,98,3,47,3,64,243,220,41,10,149,38.8,26.0,36.5,10.6,1.7,47,24
강원,속초시,78893,7349,931.5,2929,1806,699,339,301,281,182,140,458,214,39.9,24.6,9.5,4.6,4.1,3.8,2.5,1.9,6.2,2.9,370,45,110,102,220,7,124,9,104,363,331,182,19,317,52.6,40.8,42.0,13.2,2.4,124,69
강원,양구군,20372,1438,705.9,522,353,156,73,59,51,7,15,146,56,36.3,24.5,10.8,5.1,4.1,3.5,0.5,1.0,10.2,3.9,71,8,13,22,49,2,12,1,26,57,49,7,7,36,38.8,34.9,24.1,12.8,3.4,12,5
강원,양양군,27326,3157,1155.3,1017,613,166,154,103,123,52,18,797,114,32.2,19.4,5.3,4.9,3.3,3.9,1.6,0.6,25.2,3.6,67,12,20,25,127,0,15,3,29,91,145,52,13,50,28.9,55.6,53.1,10.6,4.8,15,6
강원,영월군,35714,2811,787.1,882,703,207,110,122,132,33,28,457,137,31.4,25.0,7.4,3.9,4.3,4.7,1.2,1.0,16.3,4.9,100,5,37,33,68,2,21,5,32,69,102,33,16,60,29.4,28.3,28.6,9.0,4.5,21,10
강원,원주시,364811,22917,628.2,7240,5516,3013,1609,1892,870,764,511,494,1008,31.6,24.1,13.1,7.0,8.3,3.8,3.3,2.2,2.2,4.4,1631,131,495,593,935,34,441,36,369,729,1090,764,443,999,48.3,41.9,29.9,10.1,12.1,441,239
강원,인제군,30771,2926,950.9,956,779,205,122,109,120,27,22,481,105,32.7,26.6,7.0,4.2,3.7,4.1,0.9,0.8,16.4,3.6,98,8,29,29,83,1,17,4,41,95,110,27,14,59,34.4,36.4,35.7,13.3,4.5,17,5
강원,정선군,35128,3009,856.6,1066,851,241,78,107,85,23,23,377,158,35.4,28.3,8.0,2.6,3.6,2.8,0.8,0.8,12.5,5.3,102,18,39,17,47,2,19,2,—,95,134,23,14,62,34.2,18.2,38.1,—,4.0,19,8
강원,철원군,39711,2878,724.7,1059,733,291,155,123,139,57,33,198,90,36.8,25.5,10.1,5.4,4.3,4.8,2.0,1.1,6.9,3.1,165,8,48,60,90,2,30,1,52,121,125,57,14,81,43.6,37.8,31.5,13.1,3.5,30,17
강원,춘천시,285027,17984,631.0,5907,4052,2172,1243,1415,795,462,369,833,736,32.8,22.5,12.1,6.9,7.9,4.4,2.6,2.1,4.6,4.1,1271,77,331,432,725,22,314,33,338,610,827,462,191,841,47.3,40.6,29.0,11.9,6.7,314,181
강원,태백시,36811,2700,733.5,956,790,358,112,115,118,12,41,95,103,35.4,29.3,13.3,4.1,4.3,4.4,0.4,1.5,3.5,3.8,173,24,48,34,69,3,35,3,59,150,104,12,13,155,53.5,28.0,28.3,16.0,3.5,35,22
강원,평창군,39897,3845,963.7,1339,826,283,150,136,123,73,36,647,232,34.8,21.5,7.4,3.9,3.5,3.2,1.9,0.9,16.8,6.0,116,21,33,44,95,2,34,0,47,125,167,73,28,65,34.3,34.8,41.9,11.8,7.0,34,14
강원,홍천군,65849,4942,750.5,1622,1273,437,179,218,158,128,61,654,212,32.8,25.8,8.8,3.6,4.4,3.2,2.6,1.2,13.2,4.3,202,31,62,46,119,5,51,5,65,142,211,128,40,150,35.4,25.1,32.0,9.9,6.1,51,28
강원,화천군,22579,1637,725.0,579,417,136,77,57,61,21,13,237,39,35.4,25.5,8.3,4.7,3.5,3.7,1.3,0.8,14.5,2.4,58,4,13,27,43,0,13,0,18,49,58,21,5,31,27.5,31.0,25.7,8.0,2.2,13,10
강원,횡성군,45575,3066,672.7,1047,800,277,122,163,96,113,38,292,118,34.1,26.1,9.0,4.0,5.3,3.1,3.7,1.2,9.5,3.8,109,9,42,36,76,4,32,2,42,84,148,113,15,88,25.9,24.6,32.5,9.2,3.3,32,13
경기,가평군,62041,6570,1059.0,1879,1282,369,228,326,235,175,62,1833,181,28.6,19.5,5.6,3.5,5.0,3.6,2.7,0.9,27.9,2.8,176,26,65,55,150,7,55,0,66,135,295,175,86,116,32.6,33.0,47.5,10.6,13.9,55,27
경기,고양덕양구,483048,21412,443.3,5364,4515,2531,2020,3329,994,915,579,130,1035,25.1,21.1,11.8,9.4,15.5,4.6,4.3,2.7,0.6,4.8,1361,98,465,817,1099,31,530,18,461,451,742,915,1028,788,30.2,39.7,15.4,9.5,21.3,530,307
경기,고양일산동구,298269,17539,588.0,4407,3976,2259,1633,2388,811,676,407,72,910,25.1,22.7,12.9,9.3,13.6,4.6,3.9,2.3,0.4,5.2,1127,130,404,603,901,33,344,30,352,486,782,676,379,1017,42.1,50.4,26.2,11.8,12.7,344,187
경기,고양일산서구,276121,11636,421.4,2808,2860,1591,1379,951,570,462,369,87,559,24.1,24.6,13.7,11.9,8.2,4.9,4.0,3.2,0.7,4.8,830,58,287,634,683,14,345,10,253,187,430,462,143,683,32.2,47.7,15.6,9.2,5.2,345,194
경기,과천시,80832,2931,362.6,759,657,267,354,448,81,186,89,3,87,25.9,22.4,9.1,12.1,15.3,2.8,6.3,3.0,0.1,3.0,145,11,54,146,187,—,85,2,48,16,181,186,97,99,19.3,41.2,22.4,5.9,12.0,85,63
경기,광명시,303666,12547,413.2,3144,2837,1444,1252,1679,522,630,470,90,479,25.1,22.6,11.5,10.0,13.4,4.2,5.0,3.7,0.7,3.8,882,77,306,500,666,16,436,18,223,416,440,630,475,616,31.6,38.4,14.5,7.3,15.6,436,247
경기,광주시,399111,16717,418.9,4734,4002,2196,—,1533,820,868,343,181,791,28.3,23.9,13.1,—,9.2,4.9,5.2,2.1,1.1,4.7,1059,92,284,475,711,16,315,12,401,357,701,868,280,525,28.8,29.7,17.6,10.0,7.0,315,168
경기,구리시,187782,11452,609.9,2674,2516,1240,869,2313,445,438,351,114,492,23.3,22.0,10.8,7.6,20.2,3.9,3.8,3.1,1.0,4.3,720,62,265,377,442,18,323,10,202,474,343,438,1246,632,41.6,43.6,18.3,10.8,66.4,323,169
경기,군포시,249462,10235,410.3,3018,2005,1419,996,950,520,431,347,94,455,29.5,19.6,13.9,9.7,9.3,5.1,4.2,3.4,0.9,4.4,825,54,229,372,573,12,313,22,238,423,453,431,180,334,35.2,37.9,18.2,9.5,7.2,313,149
경기,김포시,484042,25160,519.8,6299,5522,2911,2218,3975,1000,1300,548,112,1275,25.0,21.9,11.6,8.8,15.8,4.0,5.2,2.2,0.4,5.1,1439,136,461,927,1147,39,491,18,440,523,936,1300,1288,987,32.5,42.8,19.3,9.1,26.6,491,246
경기,남양주시,727440,33691,463.1,8226,7735,3919,3040,5272,1339,1426,808,287,1639,24.4,23.0,11.6,9.0,15.6,4.0,4.2,2.4,0.9,4.9,2134,139,708,1269,1569,46,737,25,671,635,1198,1426,1831,1377,31.2,39.0,16.5,9.2,25.2,737,402
