시도,시군구,시군구_정식,시군구_묶음,인구,남,여,면적_km2,병의원_계,보건기관_포함_계,의사수,인구1만명당_병의원,1개소당_인구,km2당_병의원,65세이상_비율%,20~39_비율%,여성20~49,의원수,미용겸업_의원수,미용겸업_비율%,겸업중_일반의원장,종별_병원,종별_보건소,종별_보건의료원,종별_보건지소,종별_보건진료소,종별_상급종합,종별_요양병원,종별_의원,종별_정신병원,종별_조산원,종별_종합병원,종별_치과병원,종별_치과의원,종별_한방병원,종별_한의원
강원,강릉시,강릉시,강릉시,205666,101963,103703,1038.1,258,275,789,12.5,797,0.2,28.5,19.6,31318,122,30,24.6,3,1,1,0,7,9,1,2,122,2,0,3,1,67,1,58
강원,고성군,고성군,고성군,27204,13936,13268,690.6,19,32,28,7.0,1432,0.0,36.0,17.0,3157,7,4,57.1,1,0,1,0,3,9,0,0,7,0,0,0,0,6,0,6
강원,동해시,동해시,동해시,85589,43362,42227,180.9,104,106,166,12.2,823,0.6,27.5,17.9,12205,48,25,52.1,4,1,1,0,1,0,0,3,48,0,0,2,0,30,0,20
강원,삼척시,삼척시,삼척시,60294,30872,29422,1182.2,51,66,102,8.5,1182,0.0,33.3,17.1,7551,24,11,45.8,1,1,1,0,8,6,0,1,24,0,0,1,0,13,0,11
강원,속초시,속초시,속초시,78893,38976,39917,106.5,134,135,195,17.0,589,1.3,27.0,19.2,11917,69,18,26.1,4,0,1,0,0,0,0,2,69,0,0,2,1,37,0,23
강원,양구군,양구군,양구군,20372,10718,9654,668.3,16,24,61,7.9,1273,0.0,29.1,21.1,2743,5,4,80.0,1,3,1,0,4,3,0,0,5,0,0,0,0,5,0,3
강원,양양군,양양군,양양군,27326,13964,13362,631.6,15,26,25,5.5,1822,0.0,38.0,14.0,3066,6,1,16.7,1,0,1,0,5,5,0,0,6,0,0,0,0,5,0,4
강원,영월군,영월군,영월군,35714,18510,17204,1116.3,25,38,60,7.0,1429,0.0,39.5,12.5,3585,10,7,70.0,1,1,1,0,7,5,0,1,10,0,0,1,0,8,0,4
강원,원주시,원주시,원주시,364811,180692,184119,869.6,495,513,1183,13.6,737,0.6,21.2,23.4,67352,239,85,35.6,11,17,1,0,9,8,1,6,239,2,0,1,2,111,4,112
강원,인제군,인제군,인제군,30771,16875,13896,1629.3,23,34,42,7.5,1338,0.0,28.4,22.7,4154,5,1,20.0,0,1,1,0,5,5,0,1,5,0,0,0,0,9,0,7
강원,정선군,정선군,정선군,35128,18479,16649,1211.7,20,39,45,5.7,1756,0.0,37.1,13.3,3693,8,2,25.0,0,2,1,0,7,11,0,0,8,0,0,0,0,5,0,5
강원,철원군,철원군,철원군,39711,20502,19209,748.5,39,51,72,9.8,1018,0.1,31.0,20.2,5265,17,12,70.6,2,1,1,0,4,7,0,1,17,0,0,0,0,10,0,10
강원,춘천시,춘천시,춘천시,285027,140401,144626,1109.7,356,380,966,12.5,801,0.3,23.5,24.3,51911,181,73,40.3,9,4,1,0,10,13,0,8,181,5,0,2,0,88,1,67
강원,태백시,태백시,태백시,36811,18637,18174,301.5,42,45,78,11.4,876,0.1,33.8,14.3,4497,22,7,31.8,2,1,1,0,1,1,0,1,22,0,0,1,0,10,0,7
강원,평창군,평창군,평창군,39897,20688,19209,1457.7,36,58,60,9.0,1108,0.0,38.8,12.9,3978,14,8,57.1,1,0,0,1,6,15,0,1,14,0,0,0,0,12,0,9
강원,홍천군,홍천군,홍천군,65849,33960,31889,1807.6,62,88,130,9.4,1062,0.0,37.2,15.2,7335,28,8,28.6,1,1,1,0,7,18,0,2,28,0,0,1,0,17,0,13
강원,화천군,화천군,화천군,22579,12114,10465,1045.6,23,34,60,10.2,982,0.0,31.1,24.1,2969,10,6,60.0,1,0,0,1,4,6,0,0,10,0,0,0,0,8,0,5
강원,횡성군,횡성군,횡성군,45575,23612,21963,989.3,36,53,58,7.9,1266,0.0,40.7,12.0,4307,13,5,38.5,1,1,1,0,8,8,0,1,13,0,0,0,0,9,0,12
경기,가평군,가평군,가평군,62041,31876,30165,836.7,73,94,119,11.8,850,0.1,35.0,16.8,7756,27,18,66.7,1,2,1,0,5,15,0,5,27,1,0,0,0,23,0,15
경기,고양덕양구,고양시 덕양구,고양시,483048,236436,246612,161.9,611,612,1144,12.6,791,3.8,20.2,24.8,96117,307,127,41.4,15,10,1,0,0,0,0,8,307,3,0,2,2,142,4,133
경기,고양일산동구,고양시 일산동구,고양시,298269,144435,153834,59.9,393,394,1496,13.2,759,6.6,18.7,25.4,60524,187,75,40.1,18,9,1,0,0,0,0,12,187,3,0,4,2,105,4,67
경기,고양일산서구,고양시 일산서구,고양시,276121,133128,142993,43.1,390,391,826,14.1,708,9.1,19.5,23.2,52085,194,68,35.1,5,5,1,0,0,0,0,5,194,0,0,1,2,94,1,88
경기,과천시,과천시,과천시,80832,39352,41480,35.0,118,119,137,14.6,685,3.4,16.5,25.7,17239,63,17,27.0,5,0,1,0,0,0,0,0,63,0,0,0,1,29,0,25
경기,광명시,광명시,광명시,303666,148648,155018,38.6,487,488,1035,16.0,624,12.6,19.0,25.8,62145,247,97,39.3,12,6,1,0,0,0,0,3,247,0,0,2,0,134,2,93
경기,광주시,광주시,광주시,399111,203068,196043,426.4,349,364,600,8.7,1144,0.8,19.8,22.4,74235,168,76,45.2,7,3,1,0,3,11,0,5,168,0,0,1,1,95,2,74
경기,구리시,구리시,구리시,187782,92978,94804,32.9,350,351,750,18.6,537,10.6,20.0,25.4,37008,169,58,34.3,7,8,1,0,0,0,0,4,169,1,0,1,0,100,2,65
경기,군포시,군포시,군포시,249462,123498,125964,35.7,338,340,650,13.5,738,9.5,21.0,25.1,46712,149,66,44.3,5,4,1,0,1,0,0,3,149,1,0,2,2,102,0,75
경기,김포시,김포시,김포시,484042,241341,242701,279.2,541,555,1017,11.2,895,1.9,17.7,22.0,97792,246,130,52.8,12,13,1,0,6,7,0,6,246,3,0,2,0,159,11,101
경기,남양주시,남양주시,남양주시,727440,359199,368241,455.8,834,841,1385,11.5,872,1.8,19.8,21.8,137470,402,182,45.3,19,17,3,0,3,1,0,17,402,4,0,2,0,232,4,156
경기,동두천시,동두천시,동두천시,86265,42973,43292,95.4,92,93,185,10.7,938,1.0,28.5,19.1,12957,40,15,37.5,1,2,1,0,0,0,0,7,40,1,0,0,0,28,0,14
경기,부천소사구,부천시 소사구,부천시,224202,109566,114636,12.8,280,281,539,12.5,801,21.9,22.4,23.0,42333,136,62,45.6,7,6,1,0,0,0,0,3,136,1,0,1,1,72,2,58
경기,부천오정구,부천시 오정구,부천시,148912,74920,73992,20.0,190,191,301,12.8,784,9.5,23.3,24.1,25395,90,49,54.4,5,3,1,0,0,0,0,5,90,1,0,1,1,49,3,37
경기,부천원미구,부천시 원미구,부천시,382339,187207,195132,20.6,701,702,1802,18.3,545,34.1,20.4,25.8,76801,340,141,41.5,20,13,1,0,0,0,1,8,340,2,1,2,2,182,11,139
경기,성남분당구,성남시 분당구,성남시,467641,226271,241370,69.6,1080,1082,3295,23.1,433,15.5,17.2,25.3,100511,570,173,30.4,35,9,1,0,1,0,1,5,570,0,0,3,7,267,4,214
경기,성남수정구,성남시 수정구,성남시,234639,118540,116099,45.4,507,508,823,21.6,463,11.2,21.9,27.1,45928,254,97,38.2,9,6,1,0,0,0,0,6,254,1,0,2,1,141,2,94
경기,성남중원구,성남시 중원구,성남시,200064,100615,99449,26.2,327,328,442,16.3,612,12.5,22.6,26.4,38094,159,61,38.4,5,2,1,0,0,0,0,3,159,0,0,1,1,89,2,70
경기,수원권선구,수원시 권선구,수원시,360286,181566,178720,46.9,379,380,750,10.5,951,8.1,17.3,28.2,74758,172,76,44.2,7,7,1,0,0,0,0,4,172,1,0,2,0,111,3,79
경기,수원영통구,수원시 영통구,수원시,362099,181057,181042,27.4,540,541,1582,14.9,671,19.7,11.1,31.2,86489,268,112,41.8,11,11,1,0,0,0,1,4,268,0,0,0,1,145,2,108
경기,수원장안구,수원시 장안구,수원시,269984,135404,134580,33.1,357,358,581,13.2,756,10.8,19.0,26.9,52042,159,63,39.6,8,2,1,0,0,0,0,8,159,2,0,1,0,107,1,77
경기,수원팔달구,수원시 팔달구,수원시,193401,97017,96384,12.9,522,523,1396,27.0,370,40.4,19.2,31.3,41377,273,105,38.5,25,14,1,0,0,0,1,4,273,1,0,2,2,120,5,100
