시도,시군구,진료과목,표시기관수,전문기관수,겸업기관수,과목전문의수,인구,인구1만명당,1개소당_인구
강원,강릉시,가정의학과,20,11,9,20,205666,0.97,10283
강원,강릉시,결핵과,1,0,1,0,205666,0.05,205666
강원,강릉시,구강내과,40,1,39,3,205666,1.94,5142
강원,강릉시,구강병리과,18,1,17,1,205666,0.88,11426
강원,강릉시,구강악안면외과,46,5,41,9,205666,2.24,4471
강원,강릉시,내과,61,27,34,89,205666,2.97,3372
강원,강릉시,마취통증의학과,26,13,13,21,205666,1.26,7910
강원,강릉시,방사선종양학과,1,1,0,3,205666,0.05,205666
강원,강릉시,병리과,3,2,1,5,205666,0.15,68555
강원,강릉시,비뇨의학과,26,7,19,10,205666,1.26,7910
강원,강릉시,사상체질과,38,0,38,0,205666,1.85,5412
강원,강릉시,산부인과,15,13,2,24,205666,0.73,13711
강원,강릉시,성형외과,15,8,7,9,205666,0.73,13711
강원,강릉시,소아청소년과,43,14,29,25,205666,2.09,4783
강원,강릉시,소아치과,46,4,42,5,205666,2.24,4471
강원,강릉시,신경과,15,7,8,12,205666,0.73,13711
강원,강릉시,신경외과,12,5,7,11,205666,0.58,17139
강원,강릉시,심장혈관흉부외과,5,2,3,7,205666,0.24,41133
강원,강릉시,안과,15,11,4,16,205666,0.73,13711
강원,강릉시,영상의학과,9,7,2,20,205666,0.44,22852
강원,강릉시,영상치의학과,37,1,36,3,205666,1.8,5559
강원,강릉시,예방의학과,2,0,2,0,205666,0.1,102833
강원,강릉시,예방치과,44,1,43,3,205666,2.14,4674
강원,강릉시,외과,25,12,13,28,205666,1.22,8227
강원,강릉시,응급의학과,6,3,3,16,205666,0.29,34278
강원,강릉시,이비인후과,31,11,20,14,205666,1.51,6634
강원,강릉시,재활의학과,15,6,9,8,205666,0.73,13711
강원,강릉시,정신건강의학과,12,10,2,17,205666,0.58,17139
강원,강릉시,정형외과,31,15,16,30,205666,1.51,6634
강원,강릉시,직업환경의학과,2,2,0,3,205666,0.1,102833
강원,강릉시,진단검사의학과,4,3,1,5,205666,0.19,51416
강원,강릉시,치과,2,0,2,0,205666,0.1,102833
강원,강릉시,치과교정과,27,4,23,6,205666,1.31,7617
강원,강릉시,치과보존과,53,4,49,7,205666,2.58,3880
강원,강릉시,치과보철과,59,6,53,10,205666,2.87,3486
강원,강릉시,치주과,55,6,49,9,205666,2.67,3739
강원,강릉시,침구과,47,1,46,1,205666,2.29,4376
강원,강릉시,통합치의학과,37,12,25,17,205666,1.8,5559
강원,강릉시,피부과,35,4,31,4,205666,1.7,5876
강원,강릉시,한방내과,59,0,59,0,205666,2.87,3486
강원,강릉시,한방부인과,52,0,52,0,205666,2.53,3955
강원,강릉시,한방소아과,52,0,52,0,205666,2.53,3955
강원,강릉시,한방신경정신과,46,1,45,1,205666,2.24,4471
강원,강릉시,한방안·이비인후·피부과,52,1,51,1,205666,2.53,3955
강원,강릉시,한방응급,1,0,1,0,205666,0.05,205666
강원,강릉시,한방재활의학과,44,3,41,3,205666,2.14,4674
강원,강릉시,핵의학과,1,1,0,2,205666,0.05,205666
강원,고성군,가정의학과,4,0,4,0,27204,1.47,6801
강원,고성군,구강내과,5,0,5,0,27204,1.84,5441
강원,고성군,구강병리과,3,0,3,0,27204,1.1,9068
강원,고성군,구강악안면외과,6,0,6,0,27204,2.21,4534
강원,고성군,내과,9,1,8,1,27204,3.31,3023
강원,고성군,마취통증의학과,3,0,3,0,27204,1.1,9068
강원,고성군,비뇨의학과,4,0,4,0,27204,1.47,6801
강원,고성군,사상체질과,2,0,2,0,27204,0.74,13602
강원,고성군,산부인과,1,0,1,0,27204,0.37,27204
강원,고성군,성형외과,2,0,2,0,27204,0.74,13602
강원,고성군,소아청소년과,4,0,4,0,27204,1.47,6801
강원,고성군,소아치과,8,0,8,0,27204,2.94,3400
강원,고성군,신경과,3,0,3,0,27204,1.1,9068
강원,고성군,신경외과,2,0,2,0,27204,0.74,13602
강원,고성군,심장혈관흉부외과,1,0,1,0,27204,0.37,27204
강원,고성군,안과,3,0,3,0,27204,1.1,9068
강원,고성군,영상의학과,2,1,1,1,27204,0.74,13602
강원,고성군,영상치의학과,5,0,5,0,27204,1.84,5441
강원,고성군,예방의학과,1,0,1,0,27204,0.37,27204
강원,고성군,예방치과,8,0,8,0,27204,2.94,3400
강원,고성군,외과,6,2,4,2,27204,2.21,4534
강원,고성군,응급의학과,2,0,2,0,27204,0.74,13602
강원,고성군,이비인후과,5,0,5,0,27204,1.84,5441
강원,고성군,재활의학과,2,1,1,1,27204,0.74,13602
강원,고성군,정신건강의학과,1,0,1,0,27204,0.37,27204
강원,고성군,정형외과,7,0,7,0,27204,2.57,3886
강원,고성군,치과교정과,4,0,4,0,27204,1.47,6801
강원,고성군,치과보존과,8,0,8,0,27204,2.94,3400
강원,고성군,치과보철과,7,0,7,0,27204,2.57,3886
강원,고성군,치주과,8,0,8,0,27204,2.94,3400
강원,고성군,침구과,4,0,4,0,27204,1.47,6801
강원,고성군,통합치의학과,4,1,3,1,27204,1.47,6801
강원,고성군,피부과,4,0,4,0,27204,1.47,6801
강원,고성군,한방내과,8,0,8,0,27204,2.94,3400
강원,고성군,한방부인과,3,0,3,0,27204,1.1,9068
강원,고성군,한방소아과,3,0,3,0,27204,1.1,9068
강원,고성군,한방신경정신과,3,0,3,0,27204,1.1,9068
강원,고성군,한방안·이비인후·피부과,3,0,3,0,27204,1.1,9068
강원,고성군,한방재활의학과,3,0,3,0,27204,1.1,9068
강원,동해시,가정의학과,12,5,7,5,85589,1.4,7132
강원,동해시,결핵과,4,0,4,0,85589,0.47,21397
강원,동해시,구강내과,29,0,29,0,85589,3.39,2951
강원,동해시,구강병리과,10,0,10,0,85589,1.17,8559
강원,동해시,구강악안면외과,23,2,21,2,85589,2.69,3721
강원,동해시,내과,39,13,26,17,85589,4.56,2195
강원,동해시,마취통증의학과,17,6,11,7,85589,1.99,5035
강원,동해시,방사선종양학과,1,0,1,0,85589,0.12,85589
강원,동해시,병리과,2,1,1,1,85589,0.23,42794
강원,동해시,비뇨의학과,20,2,18,2,85589,2.34,4279
강원,동해시,사상체질과,16,0,16,0,85589,1.87,5349
강원,동해시,산부인과,7,5,2,7,85589,0.82,12227
강원,동해시,성형외과,6,1,5,1,85589,0.7,14265
강원,동해시,소아청소년과,25,5,20,5,85589,2.92,3424
강원,동해시,소아치과,23,1,22,2,85589,2.69,3721
강원,동해시,신경과,8,2,6,2,85589,0.93,10699
강원,동해시,신경외과,17,7,10,7,85589,1.99,5035
강원,동해시,심장혈관흉부외과,3,0,3,0,85589,0.35,28530
강원,동해시,안과,5,2,3,2,85589,0.58,17118
강원,동해시,영상의학과,7,2,5,2,85589,0.82,12227
강원,동해시,영상치의학과,21,0,21,0,85589,2.45,4076
강원,동해시,예방의학과,1,0,1,0,85589,0.12,85589
강원,동해시,예방치과,22,0,22,0,85589,2.57,3890
강원,동해시,외과,15,6,9,8,85589,1.75,5706
강원,동해시,응급의학과,3,0,3,0,85589,0.35,28530
강원,동해시,이비인후과,20,5,15,7,85589,2.34,4279
강원,동해시,재활의학과,10,2,8,2,85589,1.17,8559
강원,동해시,정신건강의학과,4,2,2,2,85589,0.47,21397
강원,동해시,정형외과,25,6,19,8,85589,2.92,3424
강원,동해시,직업환경의학과,2,1,1,1,85589,0.23,42794
강원,동해시,진단검사의학과,2,0,2,0,85589,0.23,42794
강원,동해시,치과교정과,12,3,9,3,85589,1.4,7132
강원,동해시,치과보존과,22,0,22,0,85589,2.57,3890
강원,동해시,치과보철과,23,1,22,1,85589,2.69,3721
강원,동해시,치주과,23,1,22,1,85589,2.69,3721
강원,동해시,침구과,20,0,20,0,85589,2.34,4279
강원,동해시,통합치의학과,12,2,10,2,85589,1.4,7132
강원,동해시,피부과,26,0,26,0,85589,3.04,3292
강원,동해시,한방내과,24,0,24,0,85589,2.8,3566
강원,동해시,한방부인과,20,0,20,0,85589,2.34,4279
강원,동해시,한방소아과,19,0,19,0,85589,2.22,4505
강원,동해시,한방신경정신과,19,0,19,0,85589,2.22,4505
강원,동해시,한방안·이비인후·피부과,19,0,19,0,85589,2.22,4505
강원,동해시,한방응급,2,0,2,0,85589,0.23,42794
강원,동해시,한방재활의학과,12,0,12,0,85589,1.4,7132
강원,동해시,핵의학과,1,0,1,0,85589,0.12,85589
강원,삼척시,가정의학과,4,0,4,0,60294,0.66,15074
강원,삼척시,구강내과,9,0,9,0,60294,1.49,6699
강원,삼척시,구강병리과,7,0,7,0,60294,1.16,8613
강원,삼척시,구강악안면외과,11,1,10,1,60294,1.82,5481
강원,삼척시,내과,23,5,18,9,60294,3.81,2621
강원,삼척시,마취통증의학과,5,4,1,5,60294,0.83,12059
강원,삼척시,비뇨의학과,6,2,4,2,60294,1.0,10049
강원,삼척시,사상체질과,5,0,5,0,60294,0.83,12059
강원,삼척시,산부인과,2,2,0,4,60294,0.33,30147
강원,삼척시,소아청소년과,13,3,10,3,60294,2.16,4638
강원,삼척시,소아치과,11,0,11,0,60294,1.82,5481
강원,삼척시,신경과,6,1,5,1,60294,1.0,10049
강원,삼척시,신경외과,4,1,3,1,60294,0.66,15074
강원,삼척시,심장혈관흉부외과,1,1,0,1,60294,0.17,60294
강원,삼척시,안과,3,2,1,2,60294,0.5,20098
강원,삼척시,영상의학과,2,2,0,4,60294,0.33,30147
강원,삼척시,영상치의학과,9,0,9,0,60294,1.49,6699
강원,삼척시,예방치과,9,0,9,0,60294,1.49,6699
강원,삼척시,외과,13,6,7,8,60294,2.16,4638
강원,삼척시,응급의학과,1,1,0,3,60294,0.17,60294
강원,삼척시,이비인후과,9,2,7,3,60294,1.49,6699
강원,삼척시,재활의학과,3,1,2,1,60294,0.5,20098
강원,삼척시,정신건강의학과,2,1,1,1,60294,0.33,30147
강원,삼척시,정형외과,13,3,10,4,60294,2.16,4638
강원,삼척시,진단검사의학과,1,1,0,1,60294,0.17,60294
강원,삼척시,치과교정과,6,0,6,0,60294,1.0,10049
강원,삼척시,치과보존과,11,0,11,0,60294,1.82,5481
강원,삼척시,치과보철과,11,0,11,0,60294,1.82,5481
강원,삼척시,치주과,11,0,11,0,60294,1.82,5481
강원,삼척시,침구과,11,0,11,0,60294,1.82,5481
강원,삼척시,통합치의학과,11,3,8,4,60294,1.82,5481
강원,삼척시,피부과,11,0,11,0,60294,1.82,5481
강원,삼척시,한방내과,12,0,12,0,60294,1.99,5024
강원,삼척시,한방부인과,11,1,10,1,60294,1.82,5481
강원,삼척시,한방소아과,11,0,11,0,60294,1.82,5481
강원,삼척시,한방신경정신과,6,0,6,0,60294,1.0,10049
강원,삼척시,한방안·이비인후·피부과,11,0,11,0,60294,1.82,5481
강원,삼척시,한방재활의학과,6,0,6,0,60294,1.0,10049
