과목·키워드,피부과=100 기준 평균,최저달,최고달,변동폭(최고/최저)
이비인후과,108.3,2026-07,2025-11,1.97
피부과,100.0,—,—,1.0
정형외과,95.1,2026-02,2025-11,1.17
내과,89.4,2026-07,2025-11,1.83
안과,64.4,2026-01,2026-04,1.35
치과,53.5,2025-09,2025-12,1.29
산부인과,42.7,2026-05,2025-12,1.3
한의원,33.6,2026-07,2025-11,1.12
소아청소년과,33.3,2026-06,2025-11,2.09
비뇨의학과,24.8,2026-05,2025-12,1.42
정신건강의학과,19.4,2025-10,2026-03,1.3
재활의학과·도수치료,15.9,2025-10,2026-06,3.03
신경외과,13.4,2026-05,2026-01,1.41
보톡스·필러,9.5,2026-08,2025-09,2.94
성형외과,6.9,2026-08,2025-12,1.87
임플란트,5.7,2026-05,2026-01,2.38
치아교정·교정치과,4.5,2026-06,2026-01,1.81
탈모병원·탈모치료,4.4,2026-05,2025-12,1.92
라식,2.3,2026-05,2025-12,2.37
다이어트한의원·비만클리닉,1.7,2026-02,2026-01,1.56
