시도,시군구,인구_만명,인구_명_환산,단위,비고
부산,,324,3240000,시도,
부산,해운대구,37,370000,시군구,
부산,부산진구,36,360000,시군구,
부산,사하구,28,280000,시군구,
부산,동래구,27,270000,시군구,
부산,북구,26,260000,시군구,
부산,남구,25,250000,시군구,
부산,연제구,21,210000,시군구,
부산,금정구,20,200000,시군구,
인천,,305,3050000,시도,
인천,부평구,48,480000,시군구,
인천,남동구,47,470000,시군구,
인천,미추홀구,41,410000,시군구,
인천,연수구,41,410000,시군구,
인천,계양구,27,270000,시군구,
대구,,235,2350000,시도,
대구,달서구,51,510000,시군구,
대구,수성구,40,400000,시군구,
대구,북구,40,400000,시군구,
대구,동구,33,330000,시군구,
대구,달성군,25,250000,시군구,
대전,,144,1440000,시도,
대전,서구,46,460000,시군구,
대전,유성구,37,370000,시군구,
대전,중구,22,220000,시군구,
대전,동구,21,210000,시군구,
광주,,139,1390000,시도,
울산,,109,1090000,시도,
울산,남구,30,300000,시군구,
울산,울주군,21,210000,시군구,
울산,북구,21,210000,시군구,
울산,중구,20,200000,시군구,
서울,,930,9300000,시도,
서울,송파구,65,650000,시군구,
서울,강남구,55,550000,시군구,
서울,강서구,55,550000,시군구,
서울,강동구,50,500000,시군구,
서울,노원구,48,480000,시군구,
서울,관악구,48,480000,시군구,
서울,은평구,45,450000,시군구,
서울,성북구,42,420000,시군구,
서울,양천구,42,420000,시군구,
서울,서초구,42,420000,시군구,
서울,구로구,38,380000,시군구,
서울,중랑구,38,380000,시군구,원본 표기 «중량구» → 교정
서울,영등포구,37,370000,시군구,
서울,동작구,37,370000,시군구,
서울,마포구,36,360000,시군구,
서울,동대문구,35,350000,시군구,
서울,광진구,33,330000,시군구,
서울,서대문구,30,300000,시군구,
서울,도봉구,30,300000,시군구,
서울,강북구,28,280000,시군구,
서울,성동구,27,270000,시군구,
서울,금천구,22,220000,시군구,
서울,용산구,20,200000,시군구,
서울,종로구,14,140000,시군구,
서울,중구,12,120000,시군구,
경기,,1373,13730000,시도,
경기,수원시,119,1190000,시군구,
경기,용인시,109,1090000,시군구,
경기,고양시,106,1060000,시군구,
경기,화성시,100,1000000,시군구,
경기,성남시,90,900000,시군구,
경기,부천시,75,750000,시군구,
경기,남양주시,73,730000,시군구,
경기,평택시,62,620000,시군구,
경기,안산시,61,610000,시군구,
경기,안양시,56,560000,시군구,
경기,파주시,54,540000,시군구,
경기,시흥시,52,520000,시군구,
경기,김포시,48,480000,시군구,
경기,의정부시,46,460000,시군구,
경기,광주시,40,400000,시군구,
경기,하남시,33,330000,시군구,
경기,광명시,30,300000,시군구,
경기,양주시,30,300000,시군구,
경기,오산시,26,260000,시군구,
경기,군포시,25,250000,시군구,
경기,이천시,23,230000,시군구,
경남,,320,3200000,시도,
경남,창원시,99,990000,시군구,
경남,김해시,53,530000,시군구,
경남,양산시,36,360000,시군구,
경남,진주시,33,330000,시군구,
경남,거제시,23,230000,시군구,
경북,,250,2500000,시도,
경북,포항시,49,490000,시군구,
경북,구미시,40,400000,시군구,
경북,경산시,26,260000,시군구,
경북,경주시,24,240000,시군구,
충남,,213,2130000,시도,
충남,천안시,67,670000,시군구,
충남,아산시,37,370000,시군구,
전남,,177,1770000,시도,
전남,순천시,27,270000,시군구,
전남,여수시,26,260000,시군구,
전남,목포시,20,200000,시군구,
전북,,172,1720000,시도,
전북,전주시,65,650000,시군구,
전북,익산시,27,270000,시군구,
전북,군산시,26,260000,시군구,
충북,,159,1590000,시도,
충북,청주시,86,860000,시군구,
충북,충주시,21,210000,시군구,
강원,,150,1500000,시도,
강원,원주시,36,360000,시군구,
강원,춘천시,29,290000,시군구,
강원,강릉시,21,210000,시군구,
