시도,시군구,코드,무엇,왜
강원,강릉시,51150,signguCd,개편 전
강원,고성군,51820,signguCd,개편 전
강원,동해시,51170,signguCd,개편 전
강원,삼척시,51230,signguCd,개편 전
강원,속초시,51210,signguCd,개편 전
강원,양구군,51800,signguCd,개편 전
강원,양양군,51830,signguCd,개편 전
강원,영월군,51750,signguCd,개편 전
강원,원주시,51130,signguCd,개편 전
강원,인제군,51810,signguCd,개편 전
강원,정선군,51770,signguCd,개편 전
강원,철원군,51780,signguCd,개편 전
강원,춘천시,51110,signguCd,개편 전
강원,태백시,51190,signguCd,개편 전
강원,평창군,51760,signguCd,개편 전
강원,홍천군,51720,signguCd,개편 전
강원,화천군,51790,signguCd,개편 전
강원,횡성군,51730,signguCd,개편 전
경기,가평군,41820,signguCd,개편 전
경기,고양덕양구,41281,signguCd,개편 전
경기,고양일산동구,41285,signguCd,개편 전
경기,고양일산서구,41287,signguCd,개편 전
경기,과천시,41290,signguCd,개편 전
경기,광명시,41210,signguCd,개편 전
경기,광주시,41610,signguCd,개편 전
경기,구리시,41310,signguCd,개편 전
경기,군포시,41410,signguCd,개편 전
경기,김포시,41570,signguCd,개편 전
경기,남양주시,41360,signguCd,개편 전
경기,동두천시,41250,signguCd,개편 전
경기,부천소사구,41194,signguCd,개편 전
경기,부천오정구,41196,signguCd,개편 전
경기,부천원미구,41192,signguCd,개편 전
경기,성남분당구,41135,signguCd,개편 전
경기,성남수정구,41131,signguCd,개편 전
경기,성남중원구,41133,signguCd,개편 전
경기,수원권선구,41113,signguCd,개편 전
경기,수원영통구,41117,signguCd,개편 전
경기,수원장안구,41111,signguCd,개편 전
경기,수원팔달구,41115,signguCd,개편 전
경기,시흥시,41390,signguCd,개편 전
경기,안산단원구,41273,signguCd,개편 전
경기,안산상록구,41271,signguCd,개편 전
경기,안성시,41550,signguCd,개편 전
경기,안양동안구,41173,signguCd,개편 전
경기,안양만안구,41171,signguCd,개편 전
경기,양주시,41630,signguCd,개편 전
경기,양평군,41830,signguCd,개편 전
경기,여주시,41670,signguCd,개편 전
경기,연천군,41800,signguCd,개편 전
경기,오산시,41370,signguCd,개편 전
경기,용인기흥구,41463,signguCd,개편 전
경기,용인수지구,41465,signguCd,개편 전
