req,keyword,is_anchor,v
R0,서울피부과,1,"35.29348,37.29908,31.12442,31.52267,37.26679,37.13404,36.78243,36.00387,37.83008,34.82706,40.79721,40.87256,36.41647,34.29247,30.75487,31.24641,38.0597,34.40729,34.3427,32.83223,35.18584,34.0198,37.06587,37.22014,31.6626,34.7266,26.04405,28.57347,30.85533,29.04707,28.42278,28.30797,29.27669,28.49813,30.83022,30.81587"
R0,대구피부과,0,"44.52855,47.45622,38.98894,44.37069,56.12442,51.68986,49.41159,48.51822,49.98564,45.52956,56.60519,55.50731,51.26291,50.58122,48.42853,48.03745,57.41604,55.73335,68.58137,100,58.20536,57.56314,50.62787,49.60175,59.59385,63.28573,46.66331,48.50746,51.7078,57.34787,69.50703,52.27109,49.92465,45.09543,59.4037,59.82347"
R0,부산치과,0,"15.32003,15.28774,24.2609,35.22172,43.59931,33.90858,37.81931,66.43943,42.73464,25.63504,31.70206,29.07577,22.99081,17.28257,19.29176,28.125,20.24253,25.44489,51.99124,35.43699,26.4423,20.32505,77.95995,45.36093,32.50215,21.5198,15.40973,19.7797,23.15226,22.54233,47.17996,18.2477,17.61624,22.04004,44.62901,38.00947"
R1,서울피부과,1,"36.52532,38.60092,32.21075,32.6229,38.5675,38.43012,38.06624,37.2605,39.15045,36.04262,42.22114,42.29912,37.6875,35.48938,31.8283,32.33699,39.38808,35.60819,35.54136,33.97816,36.41393,35.20718,38.35957,38.51923,32.76771,35.93866,26.95306,29.57077,31.93227,30.06089,29.41482,29.296,30.29852,29.49279,31.90628,31.89143"
R1,서울치과,0,"29.64131,33.22441,31.0597,33.23184,36.42878,33.77766,32.18104,31.97683,34.83959,30.36907,33.76652,33.92247,28.31204,28.49769,30.95202,31.92113,32.60062,32.60433,32.74171,28.3566,29.1809,27.16099,30.03861,28.65735,25.59408,26.60775,24.11629,30.53616,31.46071,27.38378,28.16723,25.24506,27.86647,26.61146,28.64622,30.25025"
R1,서울성형외과,0,"11.2654,12.30877,12.43873,14.17273,16.31145,11.76295,12.3162,12.22709,10.32229,10.30001,11.00549,11.33224,10.54878,10.5525,12.39046,14.37694,15.89187,12.63181,11.03148,10.10322,9.57225,9.36803,10.44853,10.30744,9.62795,10.4114,10.83098,11.95232,13.56007,9.56482,9.08955,8.28382,7.66003,6.90999,7.40011,7.23674"
R1,서울안과,0,"74.90717,77.91474,65.47601,68.98485,76.14733,79.51136,78.50512,86.49933,87.65037,79.78984,89.15416,100,80.81464,71.58398,64.28412,66.5268,72.76102,75.53096,74.90717,76.86766,80.54359,72.71647,80.65498,83.45462,69.50096,70.44036,56.68349,62.57611,69.7386,66.7236,64.88563,71.2758,69.10738,67.12832,73.53705,78.62022"
R1,서울정형외과,0,"62.36818,69.27818,59.25293,64.09847,62.31249,55.92603,61.59215,63.19991,73.78583,67.7484,68.59126,68.30536,65.81018,67.74097,60.41511,57.51522,60.5525,54.87524,60.60077,57.70087,67.53675,66.4117,63.88311,67.22114,61.72954,65.40546,52.48774,57.73058,52.72538,48.87123,54.68216,54.09178,61.69241,59.46086,59.06356,58.71082"
R2,서울피부과,1,"31.00806,32.77014,27.34522,27.69512,32.74177,32.62514,32.31622,31.6322,33.23666,30.59828,35.84352,35.90972,31.9947,30.1286,27.02055,27.4524,33.4384,30.22947,30.17273,28.84566,30.9135,29.88904,32.56525,32.70079,27.81805,30.51002,22.88172,25.10402,27.10881,25.52011,24.97163,24.87076,25.72185,25.03782,27.08674,27.07413"
R2,서울한의원,0,"8.03177,8.9396,7.40764,7.71655,8.60547,8.7284,8.0034,8.20829,9.61102,7.97503,8.93014,9.56373,8.83558,8.35329,7.17437,7.01361,8.24297,7.40764,8.42894,7.43601,8.73786,8.78829,8.23036,8.85134,8.11688,8.5834,6.64165,6.51557,7.61253,7.06405,6.77089,7.11763,8.00025,7.4959,8.31231,8.04438"
R2,서울산부인과,0,"8.06014,7.54948,7.4234,7.32253,7.78905,7.80481,6.83709,7.73546,7.60307,7.4959,7.76383,8.75677,7.95927,7.36981,7.50535,7.02622,7.48644,6.38948,9.57004,7.05459,6.65742,5.74959,6.37687,6.76774,6.01122,7.07666,5.53208,5.93556,5.6298,6.09317,5.86622,5.73698,6.16567,6.28546,6.42415,6.96318"
R2,서울이비인후과,0,"70.90846,94.08964,87.77581,100,82.64405,68.72399,73.24423,74.76043,73.73282,56.80872,64.90984,78.42642,62.48896,71.29302,67.52616,82.62829,88.9106,49.69423,66.48278,65.93746,59.95776,44.58454,43.63573,47.40259,52.06783,65.348,66.56159,56.276,57.21535,54.00958,59.48493,63.80027,54.06316,41.38507,43.32997,44.91867"
R2,서울비뇨기과,0,"11.39831,12.30614,10.53145,11.01689,12.68125,11.85537,10.49993,10.90026,11.06733,10.28874,11.55276,11.69461,11.71983,11.32581,9.76862,10.30765,11.65048,10.83722,9.70558,9.54482,9.75602,8.36905,8.05383,7.73862,6.97894,7.46438,6.15622,6.9947,8.04753,6.65111,6.04589,6.20665,6.07741,5.77795,6.55655,6.87807"
